"x","y","dates"
49.58321,-23.6748817,2018-12-19
49.582605,-23.676685,2018-12-19
49.5822017,-23.6778233,2018-12-19
49.5803467,-23.6754817,2018-12-19
49.5800983,-23.6776483,2018-12-19
49.5790733,-23.67933,2018-12-19
49.55854,-23.65644,2018-12-19
49.5584633,-23.6583533,2018-12-19
49.5362683,-23.6531017,2018-12-19
49.5447633,-23.656025,2018-12-19
49.5450717,-23.6577983,2018-12-19
49.53145,-23.6482167,2018-12-19
49.5005567,-23.6612283,2018-12-19
49.480975,-23.6873717,2018-12-19
49.47807,-23.68968,2018-12-19
49.478255,-23.69211,2018-12-19
49.4838867,-23.712305,2018-12-19
49.4836367,-23.7229583,2018-12-19
49.50297,-23.712935,2018-12-19
49.5113117,-23.7100233,2018-12-19
49.501785,-23.7071883,2018-12-19
49.4643567,-23.694785,2018-12-19
49.4406067,-23.672045,2018-12-19
49.4430983,-23.6482783,2018-12-19
49.447965,-23.6384567,2018-12-19
49.402885,-23.6213083,2018-12-19
49.394745,-23.6263017,2018-12-19
49.3931983,-23.62944,2018-12-19
49.3902817,-23.62853,2018-12-19
49.39584,-23.6310217,2018-12-19
49.3778533,-23.6222267,2018-12-19
49.37964,-23.6375633,2018-12-19
49.3590133,-23.6385433,2018-12-19
49.3667433,-23.6701267,2018-12-19
49.3545983,-23.6802417,2018-12-19
49.3508733,-23.6943217,2018-12-19
49.3500617,-23.7171283,2018-12-19
49.3344817,-23.7220217,2018-12-19
49.3323667,-23.7362367,2018-12-19
49.3418433,-23.7503167,2018-12-19
49.3555517,-23.774515,2018-12-19
49.3634233,-23.7904083,2018-12-19
49.3698067,-23.8199367,2018-12-19
49.3674967,-23.827245,2018-12-19
49.3375483,-23.9388967,2018-12-20
49.3376767,-23.9373417,2018-12-20
49.3384033,-23.932265,2018-12-20
49.3383733,-23.9343517,2018-12-20
49.3350583,-23.93382,2018-12-20
49.3350983,-23.934515,2018-12-20
49.3342883,-23.9301333,2018-12-20
49.322405,-23.9075467,2018-12-20
49.3129367,-23.8896717,2018-12-20
49.310075,-23.8679833,2018-12-20
49.29563,-23.8397283,2018-12-20
49.274375,-23.8068217,2018-12-20
49.2758317,-23.7998233,2018-12-20
49.2945617,-23.7924083,2018-12-20
49.2862,-23.790045,2018-12-20
49.2812683,-23.7931617,2018-12-20
49.2879117,-23.818175,2018-12-20
49.2918767,-23.8264333,2018-12-20
49.3011133,-23.8631067,2018-12-20
49.3019983,-23.8661317,2018-12-20
49.30039,-23.866525,2018-12-20
49.29991,-23.8670133,2018-12-20
49.2990367,-23.8676383,2018-12-20
49.2982683,-23.8684967,2018-12-20
49.2975783,-23.8691417,2018-12-20
49.2971667,-23.8704833,2018-12-20
49.2963617,-23.8712967,2018-12-20
49.2952733,-23.8725217,2018-12-20
49.2933267,-23.8750783,2018-12-20
49.2927917,-23.8766367,2018-12-20
49.2916167,-23.8780783,2018-12-20
